Entity,Code,Year,Annual CO2 emissions (per capita),Average monthly precipitation,"Total population estimates, 1970-2100 (IIASA (2015))",size
Afghanistan,AFG,1949,0.0019,2.207131097,24919930.212158203,0.7059017494212104
Afghanistan,AFG,1950,0.0109,1.887374838,23863259.97631836,0.6036348279305557
Afghanistan,AFG,1951,0.0117,2.072552693,22856167.837158203,0.6628598426912296
Afghanistan,AFG,1952,0.0115,2.056044137,21898092.28466797,0.6575799485441816
Afghanistan,AFG,1953,0.0132,2.337565881,20988471.811767578,0.7476184115334555
Afghanistan,AFG,1954,0.013,2.368804344,20126744.909179688,0.7576093385386082
Afghanistan,AFG,1955,0.0186,1.966469038,19312350.068603516,0.6289313471200867
Afghanistan,AFG,1956,0.0218,2.888633064,18544725.782958984,0.923864982956901
Afghanistan,AFG,1957,0.0343,3.034812253,17823310.54248047,0.9706171425292665
Afghanistan,AFG,1958,0.038,2.076485515,17147542.84008789,0.6641176682611449
Afghanistan,AFG,1959,0.0435,2.693969043,16516861.166259766,0.8616060291684088
Afghanistan,AFG,1960,0.046,2.115480889,15930704.013427734,0.6765894705765353
Afghanistan,AFG,1961,0.0535,2.283718709,15388509.873535156,0.7303965922369713
Afghanistan,AFG,1962,0.0736,1.875859685,14889717.237548828,0.5999519625771558
Afghanistan,AFG,1963,0.0741,2.139667314,14433764.59790039,0.6843249602096392
Afghanistan,AFG,1964,0.0861,2.27297761,14020090.44555664,0.7269612908246028
Afghanistan,AFG,1965,0.1011,2.342783272,13648133.272216797,0.7492870779028074
Afghanistan,AFG,1966,0.1072,1.992022398,13317331.57055664,0.6371040204842144
Afghanistan,AFG,1967,0.1233,2.539005272,13027123.831298828,0.8120443165929786
Afghanistan,AFG,1968,0.115,2.546574438,12776948.54711914,0.8144651458442732
Afghanistan,AFG,1969,0.0864,2.126268119,12566244.207763672,0.6800395259623523
Afghanistan,AFG,1970,0.1495,1.608593547,11964910.0,0.5144728378293381
Afghanistan,AFG,1971,0.165,1.380711453,12261002.33569336,0.4415898228444023
Afghanistan,AFG,1972,0.1298,2.777799734,12165341.78540039,0.8884174095673905
Afghanistan,AFG,1973,0.1351,1.947381422,12106906.14819336,0.6228265980433352
Afghanistan,AFG,1974,0.1541,2.202404486,12085133.915283203,0.7043900481098253
Afghanistan,AFG,1975,0.1672,2.184907776,13505540.0,0.6987941149027299
Afghanistan,AFG,1976,0.1531,2.609232536,12149333.630371094,0.8345049436857902
Afghanistan,AFG,1977,0.181,1.942997366,12234182.560791016,0.6214244553232371
Afghanistan,AFG,1978,0.1614,1.993260866,12353448.864013672,0.6375001169050344
Afghanistan,AFG,1979,0.1665,2.122490113,12506571.029052734,0.6788312148437473
Afghanistan,AFG,1980,0.1315,2.41967062,14185730.0,0.7738777846058797
Afghanistan,AFG,1981,0.1502,2.454410407,12912136.916015625,0.7849885321510311
Afghanistan,AFG,1982,0.1626,3.126683138,13163457.620605469,1.0
Afghanistan,AFG,1983,0.201,2.179683795,13446388.155029297,0.697123340868575
Afghanistan,AFG,1984,0.2312,1.898814237,13760367.010986328,0.6072934650533814
Afghanistan,AFG,1985,0.2933,1.609973653,12603190.0,0.5149142340115181
Afghanistan,AFG,1986,0.267,2.184249006,14479223.654296875,0.698583421982813
Afghanistan,AFG,1987,0.2684,1.828952567,14882978.424560547,0.5849497650631459
Afghanistan,AFG,1988,0.246,2.412476949,15315535.48413086,0.7715770490716095
Afghanistan,AFG,1989,0.233,2.101073774,15776333.322509766,0.6719816755541028
Afghanistan,AFG,1990,0.2097,2.437908433,13032160.0,0.7797107431101641
Afghanistan,AFG,1991,0.1825,2.858227938,16780405.306884766,0.9141405802406576
Afghanistan,AFG,1992,0.0952,2.657065215,17322556.435302734,0.8498031612821522
Afghanistan,AFG,1993,0.0843,2.255434784,17890702.311279297,0.7213506084414749
Afghanistan,AFG,1994,0.0751,2.177648215,18484281.425048828,0.6964723059187073
Afghanistan,AFG,1995,0.0679,2.305510547,19789880.0,0.7373662265229511
Afghanistan,AFG,1996,0.0618,2.079901187,19745493.335205078,0.6652100949156043
Afghanistan,AFG,1997,0.056,2.446778655,20412003.114746094,0.7825476861608354
Afghanistan,AFG,1998,0.0521,2.49806653,21101700.099365234,0.7989509712832308
Afghanistan,AFG,1999,0.0401,1.929426878,21814022.78076172,0.6170842368229766
Afghanistan,AFG,2000,0.0365,1.590573121,22856300.0,0.5087094057178492
Afghanistan,AFG,2001,0.0369,1.512509881,23304299.200927734,0.4837426161345806
Afghanistan,AFG,2002,0.0465,2.137605401,24081129.923095703,0.6836655032359086
Afghanistan,AFG,2003,0.0501,2.275586301,24878340.309326172,0.727795622570054
Afghanistan,AFG,2004,0.036,1.863300401,25695368.850097656,0.5959351551663371
Afghanistan,AFG,2005,0.0508,2.090869563,27614720.0,0.6687180858171117
Afghanistan,AFG,2006,0.0619,1.874054673,27386634.365478516,0.5993746696695174
Afghanistan,AFG,2007,0.0837,2.12810606,28259748.322998047,0.6806273504776229
Afghanistan,AFG,2008,0.1515,1.946683134,29150434.40258789,0.6226032661708107
Afghanistan,AFG,2009,0.2374,2.422684454,30058131.095947266,0.7748416923211744
Afghanistan,AFG,2010,0.2877,1.71594202,31411750.0,0.5488058572822354
Afghanistan,AFG,2011,0.402,1.943185104,31922310.290771484,0.6214844991433859
Afghanistan,AFG,2012,0.3279,2.128932806,32877669.775390625,0.6808917667819014
Afghanistan,AFG,2013,0.2616,2.072081688,33847793.841308594,0.6627092022268103
Afghanistan,AFG,2014,0.233,2.287760214,34832120.978515625,0.7316891776450933
Albania,ALB,1933,0.0071,10.87062482,50214.451347351074,0.7736602369104418
Albania,ALB,1934,0.007,10.72263889,129030.11543083191,0.7631281072896524
Albania,ALB,1935,0.0174,11.02763887,206734.86560821533,0.7848348960613837
Albania,ALB,1936,0.1205,11.81583329,283334.6624183655,0.8409305383824006
Albania,ALB,1937,0.276,12.72340282,358835.4664039612,0.9055220838748609
Albania,ALB,1938,0.3204,10.68645819,433243.2381095886,0.76055313396502
Albania,ALB,1939,0.3938,12.07423619,506563.93806266785,0.8593210221073596
Albania,ALB,1940,0.6238,12.38062501,578803.5268173218,0.8811266543495649
Albania,ALB,1941,0.558,10.81125009,649967.9649009705,0.769434549018631
Albania,ALB,1942,0.6548,10.87972232,720063.2128696442,0.77430770420159
Albania,ALB,1943,0.4015,10.30958331,789095.2312469482,0.7337310226536305
Albania,ALB,1944,0.1322,11.90666676,857069.9805870056,0.847395138631533
Albania,ALB,1945,0.1027,10.18618047,923993.4214172363,0.7249484667278505
Albania,ALB,1946,0.4057,12.31583333,989871.514289856,0.876515443188418
Albania,ALB,1947,0.7684,12.99291666,1054710.2197380066,0.9247033310209696
Albania,ALB,1948,0.5761,8.350972176,1118515.498298645,0.5943370522943564
Albania,ALB,1949,0.8186,11.15722203,1181293.3105201721,0.7940573041497169
